,rtt
1448,58490.5
1449,32606.5
1450,27505.0
1451,75526.5
1452,75355.5
1453,66289.0
1454,113997.0
1455,111969.5
1456,72631.0
1457,123651.0
1458,35095.5
1459,33854.0
1460,55597.0
1461,82719.5
1462,140234.5
1463,101048.5
1464,108878.0
1465,100783.0
1466,99582.5
1467,109656.5
1468,101078.0
1469,100377.0
1470,110819.0
1471,94339.0
1472,91332.5
1473,103992.0
1474,99820.0
1475,77969.5
1476,51508.5
1477,93513.5
1478,97277.0
1479,92206.5
1480,85792.5
1481,85890.0
1482,97418.5
1483,90625.5
1484,61937.5
1485,40210.5
1486,32594.0
1487,89901.5
1488,90919.0
1489,79412.0
1490,80574.5
1491,74814.0
1492,81811.0
1493,88019.0
1494,89754.5
1495,92401.0
1496,60810.0
1497,57222.5
1498,77122.0
1499,75450.0
1500,71918.0
1501,74087.5
1502,60643.0
1503,56671.5
1504,61693.5
1505,66826.5
1506,61026.5
1507,42471.0
1508,31877.0
1509,73549.5
1510,49469.0
1511,34961.5
1512,59081.0
1513,71635.5
1514,34369.0
1515,26924.0
1516,29690.5
1517,73982.0
1518,63127.0
1519,34250.5
1520,37945.5
1521,26044.0
1522,58463.5
1523,71038.5
1524,32522.0
1525,27303.5
1526,36788.0
1527,61135.0
1528,51871.5
1529,34097.5
1530,32691.5
1531,26276.5
1532,41662.0
1533,28810.0
1534,53555.0
1535,70722.0
1536,86571.5
1537,76984.5
1538,70126.0
1539,74414.5
1540,59049.0
1541,70542.0
1542,79682.5
1543,56757.0
1544,33102.0
1545,30164.0
1546,32491.5
1547,61948.0
1548,72563.0
1549,70820.0
1550,63709.5
1551,35252.0
1552,77220.0
1553,57889.0
1554,33407.0
1555,25592.5
1556,29587.5
1557,40568.0
1558,26995.0
1559,26180.0
1560,89497.0
1561,79226.5
1562,84678.5
1563,80384.5
1564,80147.0
1565,78708.0
1566,84886.0
1567,83985.0
1568,80746.5
1569,57810.5
1570,87242.0
1571,59380.0
1572,61799.0
1573,55910.0
1574,55935.0
1575,53767.5
1576,60787.0
1577,66885.5
1578,60260.0
1579,53322.0
1580,46819.5
1581,39906.0
1582,73167.5
1583,58017.5
1584,60953.5
1585,74770.0
1586,68891.0
1587,61171.0
1588,60719.0
1589,55563.0
1590,69283.0
1591,54397.5
1592,55414.5
1593,54967.5
1594,58389.0
1595,60853.5
1596,62630.0
1597,71000.5
1598,84321.0
1599,40346.0
1600,88347.0
1601,65993.5
1602,33671.5
1603,35348.0
1604,30187.5
1605,37752.5
1606,38725.0
1607,44403.5
1608,39590.0
1609,37338.0
1610,38896.0
1611,39808.5
1612,35304.0
1613,39382.0
1614,39341.0
1615,37549.5
1616,37800.5
1617,44958.0
1618,37188.0
1619,32095.5
1620,31331.5
1621,64075.0
1622,32922.5
1623,41178.5
1624,39924.0
1625,44780.0
1626,37464.0
1627,40495.5
1628,31074.0
1629,47560.5
1630,41381.0
1631,40591.5
1632,88531.5
1633,39522.0
1634,37907.5
1635,33730.5
1636,30730.5
1637,45841.0
1638,38293.5
1639,37599.5
1640,38952.0
1641,36988.5
1642,69194.0
1643,36638.5
1644,86146.0
1645,84384.0
1646,86183.5
1647,46226.0
1648,39113.5
1649,37253.5
1650,39663.5
1651,49999.5
